193, -122, 1366
152, -87, 1283
120, -64, 1098
120, -64, 1098
120, -119, 1165
117, -97, 1133
86, -75, 1050
41, -28, 872
12, -75, 884
12, -75, 884
-11, -114, 950
-26, -84, 901
-56, -9, 691
-125, -29, 659
-125, -29, 659
-161, -80, 696
-182, -94, 687
-214, -64, 615
-257, 2, 505
-309, -7, 468
-309, -7, 468
-334, -45, 515
-356, -21, 501
-390, 20, 451
-,-,-
249, -189, 1463
230, -74, 1303
145, -32, 1351
125, -36, 1411
170, 8, 1332
178, -8, 1296
178, -8, 1296
201, -26, 1369
195, -97, 1509
171, -26, 1528
182, 32, 1458
191, 33, 1399
191, 33, 1399
180, -28, 1372
144, -92, 1395
94, -1, 1241
72, 36, 1158
72, 36, 1158
113, 13, 1066
101, -35, 1002
3, -19, 906
-47, 7, 772
-47, 7, 772
-41, -4, 719
-51, -8, 641
-51, -8, 641
-98, -31, 537
-147, -147, 605
-153, -165, 651
-137, -94, 521
-186, -32, 420
-265, 0, 463
-265, 0, 463
-278, 33, 461
-301, 50, 474
-327, 37, 511
-353, 12, 505
-,-,-
231, -48, 1243
158, 210, 911
192, 41, 1213
192, 41, 1213
205, -175, 1626
167, -42, 1706
247, 227, 1273
263, 105, 1386
306, -54, 1706
288, -20, 1828
288, -20, 1828
321, 91, 1543
307, 72, 1333
263, -54, 1494
240, -23, 1405
208, 38, 1140
208, 38, 1140
170, -12, 1016
143, -64, 961
95, -90, 1000
31, -24, 929
31, -24, 929
-28, 30, 692
-86, 0, 692
-137, 12, 704
-137, 12, 704
-198, 38, 643
-232, 54, 488
-254, 19, 442
-261, -37, 500
-260, -95, 541
-260, -95, 541
-309, -30, 503
-368, 71, 385
-384, 40, 439
-375, 28, 557
-372, 64, 626
-372, 64, 626
-,-,-
460, 192, 1456
386, 180, 1404
349, -42, 1605
337, -126, 1687
337, -126, 1687
344, 31, 1539
337, 87, 1483
363, -10, 1576
367, -48, 1693
307, 118, 1530
309, 228, 1199
309, 228, 1199
293, 90, 1177
286, -20, 1276
257, 16, 1068
170, -25, 1031
183, 20, 775
183, 20, 775
152, 21, 610
61, -9, 526
-75, -23, 415
-75, -23, 415
-186, -88, 420
-252, -65, 442
-339, 11, 390
-387, 26, 439
-325, -3, 507
-325, -3, 507
-230, -94, 727
-,-,-
297, 46, 1113
240, 95, 909
240, 95, 909
175, 38, 1188
140, 52, 1462
205, 202, 1303
299, 166, 1259
299, 166, 1259
298, 112, 1553
249, 179, 1574
176, 196, 1421
158, 196, 1317
198, 113, 1362
193, 96, 1385
193, 96, 1385
155, 104, 1311
151, 82, 1128
123, 62, 1075
58, 84, 974
58, 84, 974
-7, 38, 876
-4, -27, 828
-18, 20, 714
-18, 20, 714
-104, 29, 601
-168, 5, 543
-179, -29, 604
-174, -13, 663
-174, -13, 663
-191, -33, 625
-200, -43, 582
-213, -55, 562
-270, -21, 580
-312, -11, 511
-294, -8, 494
-294, -8, 494
-,-,-
214, -228, 1488
208, 127, 1033
221, 47, 898
197, 47, 1272
197, -155, 1272
171, -109, 1573
231, 36, 1319
