-755, 460, -586
-845, 504, -390
-800, 538, -417
-697, 473, -521
-752, 529, -619
-882, 542, -515
-882, 542, -515
-857, 391, -446
-850, 169, -610
-1031, -117, -995
-1176, -662, -1063
-1235, -990, -697
-1165, -706, -727
-1078, -213, -1172
-1033, -148, -1476
-902, -579, -1241
-,-,-
-650, 53, -400
-733, 44, -532
-893, -9, -514
-1024, -115, -515
-1050, -193, -717
-1107, -306, -922
-1195, -510, -907
-1235, -766, -877
-1200, -954, -851
-1105, -1078, -852
-1063, -1069, -791
-1008, -1088, -645
-934, -1153, -506
-830, -1160, -573
-762, -1110, -599
-727, -1080, -456
-655, -1111, -331
-567, -1106, -288
-480, -1056, -304
-440, -963, -272
-411, -868, -204
-358, -764, -142
-360, -597, -238
-385, -504, -270
-382, -467, -105
-381, -409, -63
-378, -328, -77
-408, -225, -104
-447, -195, -66
-472, -220, 13
-514, -149, 11
-559, 27, -94
-559, 27, -94
-589, 94, -178
-598, 66, -155
-624, 115, -131
-633, 219, -216
-601, 255, -316
-603, 219, -271
-660, 252, -228
-691, 384, -255
-718, 399, -363
-718, 399, -363
-828, 337, -399
-957, 341, -281
-944, 317, -277
-856, 298, -417
-937, 449, -581
-1071, 540, -602
-1069, 417, -584
-1047, 330, -621
-1013, 221, -869
-1051, 78, -934
-,-,-
-440, -596, -295
-609, -428, -427
-716, -329, -553
-808, -289, -895
-972, -289, -954
-972, -397, -954
-1145, -600, -824
-1223, -736, -855
-1160, -944, -935
-1081, -1109, -637
-977, -1209, -579
-853, -1368, -460
-729, -1479, -292
-594, -1534, -166
-486, -1453, -232
-400, -1308, -337
-316, -1203, -281
-241, -1189, -129
-190, -1120, -93
-143, -907, -303
-154, -705, -388
-185, -550, -259
-185, -439, -145
-186, -327, -127
-214, -189, -130
-262, -90, -112
-262, -90, -112
-322, -89, -26
-358, -170, 88
-413, -127, 111
-446, 27, 13
-483, 177, -161
-512, 198, -266
-608, 258, -195
-594, 286, -227
-594, 286, -227
-547, 250, -300
-613, 327, -336
-769, 659, -359
-796, 830, -447
-775, 654, -528
-846, 341, -472
-936, 203, -291
-922, 237, -321
-932, 336, -554
-1083, 395, -937
-1224, 23, -891
-1280, -307, -629
-1231, -353, -740
-1273, -114, -1140
-1265, -68, -1282
-1172, -258, -1022
-,-,-
-771, -266, -716
-858, -373, -791
-1035, -546, -746
-1077, -854, -764
-1073, -1124, -812
-1094, -1279, -742
-1077, -1358, -682
-1037, -1387, -571
